slug,famous,dod,status,candidates
F1071,Murad II,1451,ambiguous,Q131394:Murad II; Q159934:Murad III; Q20584448:Murad II; Q3326100:Murad II Bey; Q3326101:Murad III Bey
F1076,Musa,-1273,ambiguous,Q8666090:Musa; Q66978294:Musa; Q111364748:Musa; Q132970:Musa acuminata; Q156525:Musaceae
F1118,Nuh,-2050,ambiguous,Q232455:Nuh; Q83374582:Nuh; Q6979219:National University Hospital; Q7068779:Nuh; Q94579301:Nuh
F1133,Qaitbay,1496,ambiguous,Q557847:Qaitbay; Q56824872:Qaʾitbay; Q65439208:Qaitbay; Q1938065:Citadel of Qaitbay; Q29390503:Qaitbay
F1249,Salih,-2100,ambiguous,Q1509192:Salih; Q37479289:Salih; Q201393:Salihorsk; Q567889:Saleh; Q115517194:Salih
F1254,Salma,,ambiguous_no_year,Q2066617:Salma; Q18594789:Salma; Q125106:Salma Hayek; Q37490433:Salma; Q123894970:Salma
F1270,Sauda,1781,ambiguous,Q485297:Sauda Municipality; Q1338509:saudade; Q6728725:Sauda; Q16425083:Sauðá; Q76411080:Saudan
F1305,Shu'ayb,-1500,ambiguous,Q11955434:Shu'ayb ibn Umar; Q106245730:Shu'ayb ibn Harb; Q982867:Shuayb; Q11955433:Shu'ayb ibn Ahmad; Q7504383:Shu'ayb ibn Khazim
F1309,Shuqran,,ambiguous_no_year,Q125098438:Shuqrān; Q30347478:Shuqrān aţ Ţuwāl
F1325,Sufyan al-Thawri,778,ambiguous,Q205788:Sufyan al-Thawri; Q138066891:Sufyan Al Thawri Mosque 2; Q138060384:Sufyan Al Thawri Mosque 1
F1330,Suhaib al-Rumi,659,ambiguous,Q137751829:Suhaib Al-Rumi School (Aj Jabalain); Q137119207:Suhaib Al-Rumi in As Suki School; Q137751899:Suhaib Al-Rumi School (Rabak); Q137288391:Suhaib Al-Rumi Kassala School; Q137750956:Suhaib Al-Rumi School (Kosti)
F1342,Sulayman,-931,ambiguous,Q8474:Suleiman the Magnificent; Q213182:Sulaymaniyah Governorate; Q1768167:Solomon in Islam; Q36885127:Sulayman; Q191204:Sulaymaniyah
F1352,Sunan Kalijaga,1560,ambiguous,Q4201251:Sunan Kalijaga; Q12523348:Sunan Kalijaga Islamic University; Q64871593:Sunan Kalijaga; Q56229625:Sunan Kalijaga Cemetery; Q12517715:Sunan Kalijaga
F1387,Thabit ibn Qays,633,ambiguous,Q7708854:Thabit ibn Qays; Q12203709:Thabit ibn Qays ibn al-Khatim
F1400,Tumadir,,ambiguous_no_year,Q2420369:al-Khansāʼ; Q63929516:Tumāḍir; Q25453700:Tumadir bint al-Asbagh; Q123243166:Tumadir bint Manzur; Q125492941:Tumāḍir bint al-Sharīd
F1506,Umm Farwa,,ambiguous_no_year,Q18595601:Umm Farwah Bint Jafar; Q5436533:Umm Farwa bint al-Qasim; Q124214931:Umm Farwa bint Abi Quhafa
F1638,Wali Songo,1530,ambiguous,Q2854751:Wali Sanga; Q131759660:Wali Songo: Karamah & Laku Spiritual; Q125232393:MTs Wali Songo Melaya
F1645,Yahya,30,ambiguous,Q21069195:Yahya; Q36908230:Yahya; Q113294766:Yahya Tayalati; Q123898082:Yahya; Q123889347:Yahya
F1650,Yanash,-3700,ambiguous,Q17297563:Yanashbelyak; Q27179111:Yanashimo; Q27179107:Yanashita; Q13191346:Yanashallash; Q137163878:Yanashiro
F1651,Yaqub,-1600,ambiguous,Q37555014:Yaqub; Q4537101:Yakub; Q455739:Abu Yusuf Yaqub al-Mansur; Q2513598:Jacob in Islam; Q4536816:Yaqub
F1666,Yunus,-750,ambiguous,Q1158220:Yunus; Q23806093:Yunus; Q109826941:Yunus; Q109386289:Yunus; Q6070119:Yunus
F1667,Yunus Emre,1320,ambiguous,Q12812796:Yunus Emre; Q6066049:Yunus Emre; Q61075850:Yunus Emre; Q97232783:Yunus Emre; Q109393573:Yunus Emre
F1668,Yusuf,-1590,ambiguous,Q17497922:Yusuf; Q37563433:Yusuf; Q219815:Yūsuf; Q111133783:Yusuf; Q10837925:Yusuf
F1675,Zakariyya,30,ambiguous,Q112112024:Zakariyya; Q2420409:Zechariah in Islam; Q28051084:Zakariyyā; Q11955542:Zakariyya; Q102051920:Zakariyya Uba Zango
F1708,Ziauddin Sardar,2025,ambiguous,"Q1921138:Ziauddin Sardar; Q113349757:Ziauddin Sardar. Science, Technology and Development in the Muslim World. London: Croom Helm, Ltd.; Atlantic Highlands, N.J.: Humanities Press, 1977. 215 pp., bibliography, index."
F1732,Hashim Larijani,1993,ambiguous,Q5678915:Hashim Larijani; Q138717956:Hashim Larijani
F1735,Kahina Bahloul,,ambiguous_no_year,"Q67206828:Kahina Bahloul; Q106484752:Kahina Bahloul, soufie d’y croire"
F1740,Muqtada al-Sadr,,ambiguous_no_year,Q216826:Muqtada al-Sadr; Q18017540:Muqtada al-Sadr calls for end to fighting
F1776,Ali Harb,,ambiguous_no_year,Q102230961:Ali Harb; Q61822500:Ali Harb; Q24689238:Ali Harb; Q91826015:Ali Harb; Q108914218:Ali Harbi Ali
F1785,Ibn Hindu,1029,ambiguous,Q17004559:Ibn Hindu; Q50704412:Ibn Hindu and the science of medicine; Q125423574:Muhammad ibn Hendushah Nakhjavani
