slug,famous,dod
F0385,Amir/'Umar bin 'Abdullah bin Abi Rabi'a,
F0386,Amira bint Abi Hathma,
F0387,Amira bint al-Harith,
F0388,Amira bint al-Rabi' b. al-Nu'man,
F0389,Amira bint Hubbasha bin Jwaybit,
F0390,Amira bint Kultum bin al-Hadm,
F0391,Amira bint Mas'ud bin Aws,
F0392,Amira bint Mas'ud bin Zurara,
F0393,Amira bint Mu'awwidh bin 'Afra',
F0394,Amira bint Muhammad,
F0395,Amira bint Murshida bin Jabir,
F0396,Amira bint Qays bin 'Amr,
F0397,Amira bint Sa'd,
F0398,Amira bint Sahl bin Tha'laba,
F0399,Amira bint Thabit bin al-Nu'man,
F0400,Amira bint Yazid bin al-Sakan,
F0401,Amira bint Zuhayr bin Rafi',
F0402,Amira/'Amra bint 'Ubaid,
F0404,Amna bint Qurat bin Khansa',
F0405,Amr b Suraqa,650
F0406,Amr bin 'Uthman bin 'Amr,636
F0407,Amr bin al-Harith bin Zuhayr,
F0408,Amr bin al-Jamuh bin Zayd,625
F0409,Amr bin Ghaziyah bin 'Amr,
F0410,Amr bin Iyas,625
F0411,Amr bin Iyyas bin Zayd,
F0412,Amr bin Jahm bin Qays,
F0413,Amr bin Mutarrif bin 'Alqama,625
F0414,Amr bin Qays bin Zayd,625
F0415,Amr bin Talaq b Zayd b Umayya,
F0416,Amr bin Tha'laba,
F0417,Amr bin Thabit bin Waqash,625
F0418,Amr bin Umayya bin al-Harith,
F0420,Amr ibn Mua'dh,625
F0421,Amr ibn Sa'id ibn al-'Aas,634
F0422,Amra bint Abd al-Rahman,717
F0423,Amra bint Abi Ayoub,
F0424,Amra bint Haritha bin al-Nu'man,
F0425,Amra bint Hazm ibn Zayd,
F0426,Amra bint Hazzal,
F0427,Amra bint Mas'ud #1,
F0428,Amra bint Mas'ud #2,
F0429,Amra bint Mas'ud #3,
F0430,Amra bint Mas'ud #4,627
F0431,Amra bint Mas'ud #5,
F0432,Amra bint Mas'ud bin Aws,
F0433,Amra bint Qays bin Abi Ka'b,
F0434,Amra bint Rawaha,
F0435,Amra bint Sa'd bin Malik,
F0437,Amrah bint al-S'adi bin Waqdan,
F0438,Anas bin al-Nadr b. DamDam,625
F0439,Anas bin Mua'dh bin Anas,626
F0441,Anisa bint 'Adiy bin Nadla,
F0442,Anisa bint Abi Talha,
F0443,Anisa bint Raqeem bin al-Harith,
F0446,Antara Mawla Salim bin 'Amr,625
F0447,Anush ibn Shith,-2800
F0448,Aqeel bin Maqrn al-Mazni,
F0450,Aqil bin al-Bukayr,624
F0451,Ar-Rabab bint al-Bara' bin Ma'rur,
F0452,Ar-Rabab bint an-Nu'man,
F0453,ar-Rubbayi' bint Mu'awwidh bin 'Afra',
F0454,Arfakhshadh ibn Sam,-1700
F0457,Arwa bint al-Muqawwim,
F0458,Arwa bint Kuraiz bin Rabi'a,654
F0459,Arwa bint Malik bin Khansa',
F0460,As'ad bin Yazid bin al-Fakih,
F0462,as-Sa'bah bint al-Hadrami,
F0464,Ash-Shamus bint 'Amr bin Haram,
F0465,Ashraf Ali Thanvi,1943
F0466,Asim bin 'Adiy bin al-Jadd,
F0467,Asim bin Qays,
F0468,Asim bin Thabit ibn Abi al-Aflah,626
F0469,Asim/'Amir bin al-'Ukayr,
F0470,Asma bin al-Husain bin Wabara,
F0471,Asma bin Ri'ab bin Hunayf,634
F0473,Asma bint Sa'id bin Zayd,
F0476,Asma' bint Makhrabah b. Jandal al-Tamimi,
F0477,Asma' bint Muhriz bin 'Amir,
F0478,Asma' bint Murshida bin Jabir,
F0479,Asma' bint Qurat bin Khansa',
F0480,Asma' bint Salama/Makhrabah,
F0481,Asma' bint Zayd ibn al-Khattab,
F0483,Atik b. Qays b. Haysha,634
F0486,Attab bin Usayd bin Abi al-'Is,634
F0487,Auf bin 'Afra',624
F0488,Auhad al-Din Kirmani,1238
F0490,Aus bin As-Samit,
F0491,Aus bin Thabit,
F0492,Aus/Anas bin Arqam,625
F0493,Aws bin Khawli,655
F0494,Ayadh bin Zuhayr b Abi Shaddad,
F0496,Ayman bin 'Ubiad,630
F0497,Aymen bin Khuraym bin Fatik,
F0498,Ayyadh bin Ghanm bin Zuhayr,
F0499,Ayyash bin Abi Rabi'a,636
F0502,Az-Zubair ibn 'Abd al-Muttalib,
F0503,Azar ibn Nahur,-1720
F0511,Bahhath bin Tha'laba bin Hazama,
F0515,Baraka bint Yasar,
F0516,"Barira, the client of 'Aisha",
F0517,Barra bint Abi Tajra,
F0518,Barrah bint 'Abd al-Muttalib,
F0519,Basbas bin 'Amr bin Tha'laba,
F0520,Basheer bin 'Atik,634
F0521,Basheer bin 'Unbus bin Zayd,635
F0523,Bashira bint al-Harith,
F0524,Bashira bint al-Nu'man bin al-Harith,
F0525,Bashira bint Thabit bin al-Nu'man,
F0526,Basira/Yasira,
F0529,Bedil Dehlawi,1720
F0535,Bishr bin Bara' bin Ma'rur bin Sakhr,628
F0536,Buhayna bint al-Harith,
F0537,Buhaysa al-Fazariyya,
F0538,Buhaysa bint 'Amr bin Khalada,
